n,1_over_n,log2_n,12sqrt_n,n_pow_0_51,50sqrt_n,2pow32_n,nlog2n,100n2_plus_6n,n2_minus_324,2n3,n_log2_n,3_pow_n
1,1.000000,0.000000,12.000000,1.000000,50.000000,4294967296,0.000000,106.000000,-323.000000,2.000000,1.000000,3.000000
2,0.500000,1.000000,16.970563,1.424050,70.710678,8589934592,2.000000,412.000000,-320.000000,16.000000,2.000000,9.000000
3,0.333333,1.584963,20.784610,1.751184,86.602540,12884901888,4.754888,918.000000,-315.000000,54.000000,5.704522,27.000000
4,0.250000,2.000000,24.000000,2.027919,100.000000,17179869184,8.000000,1624.000000,-308.000000,128.000000,16.000000,81.000000
5,0.200000,2.321928,26.832816,2.272347,111.803399,21474836480,11.609640,2530.000000,-299.000000,250.000000,41.971848,243.000000
6,0.166667,2.584963,29.393877,2.493774,122.474487,25769803776,15.509775,3636.000000,-288.000000,432.000000,102.681405,729.000000
7,0.142857,2.807355,31.749016,2.697739,132.287566,30064771072,19.651484,4942.000000,-275.000000,686.000000,235.770868,2187.000000
8,0.125000,3.000000,33.941125,2.887858,141.421356,34359738368,24.000000,6448.000000,-260.000000,1024.000000,512.000000,6561.000000
9,0.111111,3.169925,36.000000,3.066646,150.000000,38654705664,28.529325,8154.000000,-243.000000,1458.000000,1058.954227,19683.000000
10,0.100000,3.321928,37.947332,3.235937,158.113883,42949672960,33.219281,10060.000000,-224.000000,2000.000000,2098.592396,59049.000000
11,0.090909,3.459432,39.799497,3.397115,165.831240,47244640256,38.053748,12166.000000,-203.000000,2662.000000,4005.223747,177147.000000
12,0.083333,3.584963,41.569219,3.551260,173.205081,51539607552,43.019550,14472.000000,-180.000000,3456.000000,7393.061153,531441.000000
13,0.076923,3.700440,43.266615,3.699228,180.277564,55834574848,48.105716,16978.000000,-155.000000,4394.000000,13245.861955,1594323.000000
14,0.071429,3.807355,44.899889,3.841716,187.082869,60129542144,53.302969,19684.000000,-128.000000,5488.000000,23105.545058,4782969.000000
15,0.066667,3.906891,46.475800,3.979299,193.649167,64424509440,58.603359,22590.000000,-99.000000,6750.000000,39342.312126,14348907.000000
16,0.062500,4.000000,48.000000,4.112455,200.000000,68719476736,64.000000,25696.000000,-68.000000,8192.000000,65536.000000,43046721.000000
17,0.058824,4.087463,49.477268,4.241593,206.155281,73014444032,69.486868,29002.000000,-35.000000,9826.000000,107007.506497,129140163.000000
18,0.055556,4.169925,50.911688,4.367058,212.132034,77309411328,75.058650,32508.000000,0.000000,11664.000000,171550.584717,387420489.000000
19,0.052632,4.247928,52.306787,4.489152,217.944947,81604378624,80.710623,36214.000000,37.000000,13718.000000,270428.590391,1162261467.000000
20,0.050000,4.321928,53.665631,4.608136,223.606798,85899345920,86.438562,40120.000000,76.000000,16000.000000,419718.479173,3486784401.000000
21,0.047619,4.392317,54.990908,4.724239,229.128785,90194313216,92.238666,44226.000000,117.000000,18522.000000,642106.172840,10460353203.000000
22,0.045455,4.459432,56.284989,4.837663,234.520788,94489280512,98.107496,48532.000000,160.000000,21296.000000,969264.146814,31381059609.000000
23,0.043478,4.523562,57.549978,4.948587,239.791576,98784247808,104.041925,53038.000000,205.000000,24334.000000,1444974.668050,94143178827.000000
24,0.041667,4.584963,58.787754,5.057172,244.948974,103079215104,110.039100,57744.000000,252.000000,27648.000000,2129201.612098,282429536481.000000
25,0.040000,4.643856,60.000000,5.163562,250.000000,107374182400,116.096405,62650.000000,301.000000,31250.000000,3103361.458491,847288609443.000000
26,0.038462,4.700440,61.188234,5.267886,254.950976,111669149696,122.211433,67756.000000,352.000000,35152.000000,4477101.340867,2541865828329.000000
