Numbers,Frequency
1,29
2,25
3,30
4,31
5,38
6,34
7,25
8,37
9,42
10,36
11,29
12,33
13,37
14,38
15,36
16,34
17,43
18,31
19,36
20,29
21,31
22,40
23,38
24,31
25,22
26,27
27,25
28,24
29,30
30,35
31,29
32,30
33,33
34,34
35,33
36,28
37,38
38,31
39,30
40,40
41,43
42,30
43,21
44,37
45,26
46,55
47,38
48,31
49,48
50,29
51,28
52,40
53,37
54,34
55,34
56,29
57,24
58,31
59,33
60,31
61,35
62,36
63,21
64,33
65,37
66,31
67,34
68,38
69,30
70,31
71,33
72,26
73,26
74,33
75,31
76,26
77,35
78,32
79,30
80,30
81,38
82,41
83,43
84,30
85,40
86,29
87,35
88,33
89,25
90,37
91,30
92,36
93,41
94,36
95,33
96,35
97,33
98,28
99,38
100,30
101,32
102,39
103,38
104,37
105,43
106,30
107,29
108,32
109,28
110,19
111,36
112,29
113,35
114,41
115,33
116,34
117,41
118,35
119,31
120,31
121,27
122,45
123,24
124,38
125,26
126,32
127,28
128,33
129,37
130,29
131,28
132,28
133,31
134,34
135,42
136,34
137,34
138,33
139,32
140,42
141,30
142,38
143,32
144,33
145,38
146,36
147,26
148,39
149,23
150,27
151,30
152,31
153,32
154,32
155,42
156,31
157,38
158,37
159,38
160,34
161,28
162,26
163,39
164,38
165,46
166,33
167,38
168,34
169,27
170,40
171,34
172,31
173,25
174,35
175,28
176,33
177,29
178,31
179,39
180,35
181,44
182,37
183,34
184,41
185,22
186,37
187,29
188,33
189,22
190,33
191,36
192,29
193,45
194,30
195,38
196,34
197,32
198,38
199,30
200,38
201,26
202,36
203,33
204,26
205,35
206,38
207,35
208,32
209,36
210,34
211,32
212,25
213,27
214,32
215,29
216,29
217,34
218,26
219,29
220,39
221,28
222,41
223,32
224,39
225,35
226,36
227,29
228,35
229,27
230,32
231,31
232,34
233,41
234,41
235,41
236,31
237,35
238,28
239,29
240,25
241,44
242,29
243,27
244,32
245,31
246,38
247,34
248,34
249,29
250,23
251,39
252,28
253,35
254,35
255,26
256,41
257,36
258,28
259,41
260,34
261,28
262,42
263,30
264,34
265,34
266,34
267,34
268,44
269,34
270,27
271,33
272,47
273,42
274,34
275,29
276,37
277,38
278,41
279,39
280,40
281,31
282,35
283,31
284,38
285,44
286,26
287,35
288,31
289,29
290,25
291,32
292,30
293,39
294,27
295,38
296,34
297,41
298,33
299,35
300,30
